City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,laojunmiao,39.8333,97.7333,11.96,22,0,6.22,CN,1713618044
233,northam,51.0333,-4.2167,13.47,57,22,3.0,GB,1713618044
234,vernon,50.2581,-119.2691,1.83,55,0,3.09,CA,1713618038
235,polyarnyy,69.1989,33.4478,-4.5,68,100,12.27,RU,1713618046
236,wilmington island,32.0036,-80.9737,24.99,84,0,2.06,US,1713618046
237,itoman,26.1247,127.6694,24.21,94,40,6.69,JP,1713618047
238,champerico,14.3,-91.9167,25.3,79,95,2.88,GT,1713618048
239,weno,7.4515,151.8468,28.75,79,100,8.36,FM,1713618048
240,mar del plata,-38.0023,-57.5575,18.3,79,0,2.57,AR,1713618030
241,buka,40.8108,69.1986,26.29,39,98,3.55,UZ,1713618050
242,manhattan,40.7834,-73.9662,11.14,89,100,2.57,US,1713617997
243,freetown,8.484,-13.2299,28.84,74,75,5.14,SL,1713618014
244,rongelap,11.1635,166.8941,27.33,76,89,8.36,MH,1713618051
245,tanaina,61.6269,-149.4281,6.69,42,0,5.66,US,1713618052
246,haiku-pauwela,20.9219,-156.3051,20.58,91,70,5.36,US,1713618053
247,solnechnyy,50.7214,136.6319,0.57,94,90,2.18,RU,1713618053
248,beitbridge,-22.2167,30.0,31.69,30,0,0.97,ZW,1713618055
249,tongchuanshi,35.0806,109.0897,15.52,60,100,1.0,CN,1713618055
250,georgetown,5.4112,100.3354,30.97,70,20,4.12,MY,1713618056
251,broken hill,-31.95,141.4333,14.63,51,0,4.79,AU,1713618057
252,parun,35.4207,70.9221,1.58,99,100,2.42,AF,1713618057
253,fisterra,42.9049,-9.2629,22.08,64,0,3.31,ES,1713618058
254,oswego,43.4501,-76.1497,9.73,68,9,1.34,US,1713618059
255,sitka,57.0531,-135.33,6.94,65,20,0.0,US,1713617852
256,lucas,41.6501,-83.6666,5.61,59,100,3.6,US,1713618060
257,argo,37.6333,22.7333,21.18,39,59,3.84,GR,1713618061
258,kourou,5.1552,-52.6478,29.03,67,100,3.52,GF,1713618061
259,colonia,50.9333,6.95,10.66,83,100,4.88,DE,1713618009
260,kuanda,56.3161,116.0806,1.73,91,100,1.29,RU,1713618062
261,regina,50.4501,-104.6178,-7.2,81,20,2.57,CA,1713617978
262,sobotka,50.8999,16.7444,5.78,98,100,6.84,PL,1713618064
263,cuito,-12.3833,16.9333,23.93,46,100,3.4,AO,1713618064
264,vila franca do campo,37.7167,-25.4333,18.27,99,100,3.51,PT,1713618065
265,port alfred,-33.5906,26.891,22.32,88,95,1.79,ZA,1713618066
266,kalianget,-7.05,113.9333,28.48,81,94,4.23,ID,1713618066
267,bel ombre,-4.6167,55.4167,30.91,74,40,1.54,SC,1713618067
268,sao joao da barra,-21.6403,-41.0511,26.05,69,0,4.19,BR,1713618068
269,machico,32.7,-16.7667,22.78,78,75,4.63,PT,1713618068
270,ulanhot,46.0833,122.0833,9.53,62,14,7.26,CN,1713618069
271,sathyamangalam,11.5167,77.25,34.16,34,100,2.73,IN,1713618070
272,nar'yan-mar,67.6713,53.087,-9.94,93,100,9.39,RU,1713618071
273,dunedin,-45.8742,170.5036,9.89,96,100,0.63,NZ,1713617951
274,bandar abbas,27.1865,56.2808,29.99,58,20,6.17,IR,1713618030
275,cruzeiro do sul,-29.5128,-51.9853,24.18,62,0,2.31,BR,1713618073
276,menongue,-14.6585,17.691,29.52,28,10,3.91,AO,1713618075
277,mikun',62.3547,50.0771,7.23,73,12,6.27,RU,1713618076
278,cabedelo,-6.9811,-34.8339,23.37,84,100,5.12,BR,1713618076
279,tommot,58.9564,126.2925,1.66,99,100,1.2,RU,1713618077
280,luanda,-8.8368,13.2343,30.0,74,100,5.14,AO,1713618002
281,callaway,30.153,-85.5699,23.86,92,40,2.57,US,1713618079
282,troitsko-pechorsk,62.7084,56.1964,4.27,100,100,2.68,RU,1713618079
283,okondja,-0.6549,13.6753,33.47,48,97,1.08,GA,1713618080
284,hauterive,46.0901,3.4459,10.42,43,84,5.14,FR,1713618081
285,hilo,19.7297,-155.09,20.85,99,100,0.0,US,1713617887
286,qulsary,46.9531,54.0198,29.93,20,0,6.63,KZ,1713618082
287,raja,8.4596,25.678,39.39,21,100,1.45,SS,1713618083
288,lorengau,-2.0226,147.2712,27.75,73,100,1.49,PG,1713618083
289,shingu,33.7333,135.9833,16.94,81,100,2.22,JP,1713618084
290,basco,20.4487,121.9702,28.32,81,0,6.63,PH,1713618085
291,yarmouth,41.7057,-70.2286,9.23,95,100,3.6,US,1713618085
292,nogliki,51.8333,143.1667,0.19,97,100,4.47,RU,1713618086
293,tromso,69.6496,18.957,2.01,32,0,2.57,NO,1713618087
294,port-vila,-17.7338,168.3219,24.78,94,100,1.54,VU,1713618087
